time,eyeHeight,status
1778338540717,0.023428261280059814,awake
1778338540736,0.022144943475723267,awake
1778338540755,0.02255377173423767,awake
1778338540799,0.022184550762176514,awake
1778338540833,0.022019654512405396,awake
1778338540867,0.0218372642993927,awake
1778338540900,0.021825790405273438,awake
1778338540934,0.022029757499694824,awake
1778338540969,0.022037625312805176,awake
1778338541001,0.022040098905563354,awake
1778338541035,0.02237415313720703,awake
1778338541069,0.02267897129058838,awake
1778338541102,0.022329360246658325,awake
1778338541134,0.02127775549888611,awake
1778338541170,0.021465182304382324,awake
1778338541207,0.021877706050872803,awake
1778338541239,0.021887212991714478,awake
1778338541272,0.02187749743461609,awake
1778338541306,0.021913737058639526,awake
1778338541337,0.022079825401306152,awake
1778338541372,0.022223740816116333,awake
1778338541403,0.02223530411720276,awake
1778338541437,0.022220999002456665,awake
1778338541470,0.022234320640563965,awake
1778338541505,0.022215276956558228,awake
1778338541538,0.022216051816940308,awake
1778338541569,0.022385776042938232,awake
1778338541602,0.022018492221832275,awake
1778338541635,0.022214174270629883,awake
1778338541669,0.02235245704650879,awake
1778338541703,0.022350728511810303,awake
1778338541737,0.02220970392227173,awake
1778338541769,0.022229403257369995,awake
1778338541803,0.02186673879623413,awake
1778338541836,0.016198784112930298,awake
1778338541869,0.0022555887699127197,drowsy
1778338541903,0.0008561015129089355,drowsy
1778338541937,0.003271251916885376,drowsy
1778338541969,0.015060991048812866,awake
1778338542005,0.01834893226623535,awake
1778338542036,0.019635707139968872,awake
1778338542068,0.02037370204925537,awake
1778338542103,0.02094411849975586,awake
1778338542137,0.021330177783966064,awake
1778338542171,0.021518707275390625,awake
1778338542203,0.021709948778152466,awake
1778338542238,0.020646095275878906,awake
1778338542267,0.021488547325134277,awake
1778338542300,0.02113071084022522,awake
1778338542334,0.02149096131324768,awake
1778338542366,0.021360784769058228,awake
1778338542400,0.022089064121246338,awake
1778338542434,0.02174234390258789,awake
1778338542467,0.022285282611846924,awake
1778338542502,0.02245873212814331,awake
1778338542534,0.022287815809249878,awake
1778338542567,0.02229270339012146,awake
1778338542600,0.022305279970169067,awake
1778338542633,0.02247723937034607,awake
1778338542667,0.022837072610855103,awake
1778338542703,0.02268064022064209,awake
1778338542734,0.022517025470733643,awake
1778338542767,0.021086037158966064,awake
1778338542801,0.008757412433624268,drowsy
1778338542836,0.001388251781463623,drowsy
1778338542868,0.001206129789352417,drowsy
1778338542902,0.0011722147464752197,drowsy
1778338542935,0.000993192195892334,drowsy
1778338542968,0.0009934008121490479,drowsy
1778338543001,0.0011675655841827393,drowsy
1778338543035,0.000991225242614746,drowsy
1778338543068,0.0015124976634979248,drowsy
1778338543102,0.002037137746810913,drowsy
1778338543134,0.001863926649093628,drowsy
1778338543167,0.002039194107055664,drowsy
1778338543201,0.0020367801189422607,drowsy
1778338543235,0.002201676368713379,drowsy
1778338543268,0.002554655075073242,drowsy
1778338543302,0.0025545358657836914,drowsy
1778338543335,0.002557724714279175,drowsy
1778338543368,0.002040773630142212,drowsy
1778338543400,0.0020409226417541504,drowsy
1778338543435,0.00203627347946167,drowsy
1778338543467,0.001689523458480835,drowsy
1778338543501,0.0016932487487792969,drowsy
1778338543532,0.0013460516929626465,drowsy
1778338543569,0.0011800825595855713,drowsy
1778338543600,0.00014990568161010742,drowsy
1778338543632,0.00032761693000793457,drowsy
1778338543666,0.0003274083137512207,drowsy
1778338543701,0.00014862418174743652,drowsy
1778338543735,0.000492095947265625,drowsy
1778338543769,0.000493854284286499,drowsy
1778338543801,0.0004878044128417969,drowsy
1778338543836,0.0006592869758605957,drowsy
1778338543867,0.0008287727832794189,drowsy
1778338543901,0.0011805891990661621,drowsy
1778338543932,0.0011780858039855957,drowsy
1778338543966,0.0015244483947753906,drowsy
1778338544000,0.006513446569442749,drowsy
1778338544036,0.015840739011764526,awake
1778338544068,0.018218785524368286,awake
1778338544101,0.01952466368675232,awake
1778338544133,0.020260602235794067,awake
1778338544167,0.020656079053878784,awake
1778338544201,0.020701557397842407,awake
1778338544234,0.021036982536315918,awake
1778338544267,0.02104794979095459,awake
1778338544301,0.021378785371780396,awake
1778338544334,0.021919965744018555,awake
1778338544368,0.02282315492630005,awake
1778338544401,0.023732304573059082,awake
1778338544433,0.023817479610443115,awake
1778338544467,0.023118942975997925,awake
1778338544501,0.02384921908378601,awake
1778338544534,0.024269312620162964,awake
1778338544566,0.02466842532157898,awake
1778338544601,0.02471792697906494,awake
1778338544634,0.02460765838623047,awake
1778338544666,0.024433940649032593,awake
1778338544701,0.024611711502075195,awake
1778338544734,0.024251580238342285,awake
1778338544767,0.024249672889709473,awake
1778338544800,0.02405071258544922,awake
1778338544834,0.024210125207901,awake
1778338544866,0.023868978023529053,awake
1778338544901,0.023844897747039795,awake
1778338544934,0.023868560791015625,awake
1778338544967,0.024046003818511963,awake
1778338545001,0.024576783180236816,awake
1778338545034,0.02464786171913147,awake
1778338545066,0.024712085723876953,awake
1778338545101,0.02503296732902527,awake
1778338545134,0.025508731603622437,awake
1778338545167,0.026149213314056396,awake
1778338545200,0.026734471321105957,awake
1778338545233,0.026631563901901245,awake
1778338545267,0.02696850895881653,awake
1778338545301,0.026965230703353882,awake
1778338545334,0.027163565158843994,awake
1778338545367,0.027158498764038086,awake
1778338545401,0.02712920308113098,awake
1778338545434,0.026921123266220093,awake
1778338545467,0.02674919366836548,awake
1778338545501,0.026550590991973877,awake
1778338545534,0.026365935802459717,awake
1778338545568,0.02637121081352234,awake
1778338545601,0.025265783071517944,awake
1778338545633,0.02381959557533264,awake
1778338545667,0.023826628923416138,awake
1778338545701,0.023800194263458252,awake
1778338545734,0.023619472980499268,awake
1778338545767,0.022335141897201538,awake
1778338545800,0.018088102340698242,awake
1778338545834,0.002142608165740967,drowsy
1778338545868,0.0001583695411682129,drowsy
1778338545901,0.00019302964210510254,drowsy
1778338545934,0.000004231929779052734,drowsy
1778338545967,0.0007110238075256348,drowsy
1778338546001,0.0006954967975616455,drowsy
1778338546033,0.0008725523948669434,drowsy
1778338546066,0.0013848543167114258,drowsy
1778338546099,0.0015579760074615479,drowsy
1778338546134,0.0013837218284606934,drowsy
1778338546168,0.0001703500747680664,drowsy
1778338546201,0.000522226095199585,drowsy
1778338546234,0.0001767873764038086,drowsy
1778338546267,0.00001093745231628418,drowsy
1778338546301,0.0007151961326599121,drowsy
1778338546334,0.0008732080459594727,drowsy
1778338546367,0.001049131155014038,drowsy
1778338546402,0.00017699599266052246,drowsy
1778338546434,0.0005041360855102539,drowsy
1778338546467,0.0008576512336730957,drowsy
1778338546501,0.0006766915321350098,drowsy
1778338546534,0.000010907649993896484,drowsy
1778338546567,0.00019845366477966309,drowsy
1778338546601,0.00016626715660095215,drowsy
1778338546634,0.0003294050693511963,drowsy
1778338546667,0.0005057454109191895,drowsy
1778338546700,0.0004988610744476318,drowsy
1778338546734,0.000835716724395752,drowsy
1778338546767,0.0008386969566345215,drowsy
1778338546801,0.00032067298889160156,drowsy
1778338546834,0.0005051791667938232,drowsy
1778338546866,0.0001939535140991211,drowsy
1778338546901,0.000009745359420776367,drowsy
1778338546933,0.00016301870346069336,drowsy
1778338546967,0.00034046173095703125,drowsy
1778338547000,0.000501781702041626,drowsy
1778338547034,0.0001550614833831787,drowsy
1778338547066,0.00017085671424865723,drowsy
1778338547101,0.00019043684005737305,drowsy
1778338547133,0.0001836717128753662,drowsy
1778338547168,0.0003420114517211914,drowsy
1778338547201,0.00035259127616882324,drowsy
1778338547234,0.0006943643093109131,drowsy
1778338547266,0.0012083053588867188,drowsy
1778338547301,0.0012086331844329834,drowsy
1778338547333,0.0012045204639434814,drowsy
1778338547367,0.0008553564548492432,drowsy
1778338547400,0.0001761019229888916,drowsy
1778338547434,0.0006863772869110107,drowsy
1778338547466,0.0006773769855499268,drowsy
1778338547501,0.00032639503479003906,drowsy
1778338547534,0.0004952847957611084,drowsy
1778338547568,0.0003196597099304199,drowsy
1778338547601,0.0008459687232971191,drowsy
1778338547634,0.0005008876323699951,drowsy
1778338547667,0.0006737709045410156,drowsy
1778338547701,0.0005011856555938721,drowsy
1778338547734,0.0010273456573486328,drowsy
1778338547767,0.00031617283821105957,drowsy
1778338547801,0.0006685554981231689,drowsy
1778338547834,0.0006686151027679443,drowsy
1778338547867,0.0004989206790924072,drowsy
1778338547900,0.0006701052188873291,drowsy
1778338547933,0.0008473992347717285,drowsy
1778338547967,0.00033292174339294434,drowsy
1778338548001,0.0005055665969848633,drowsy
1778338548033,0.00032952427864074707,drowsy
1778338548067,0.0001569688320159912,drowsy
1778338548100,0.00016012787818908691,drowsy
1778338548134,0.000009357929229736328,drowsy
1778338548167,0.000005990266799926758,drowsy
1778338548200,0.000009328126907348633,drowsy
1778338548234,0.000012695789337158203,drowsy
1778338548267,0.00001940131187438965,drowsy
1778338548300,0.0001856088638305664,drowsy
1778338548334,0.00016358494758605957,drowsy
1778338548367,0.0001901090145111084,drowsy
1778338548401,0.0003318190574645996,drowsy
1778338548434,0.0010413825511932373,drowsy
1778338548467,0.0047025978565216064,drowsy
1778338548500,0.013753950595855713,drowsy
1778338548534,0.0163097083568573,awake
1778338548569,0.01777634024620056,awake
1778338548600,0.019633442163467407,awake
1778338548634,0.02006170153617859,awake
1778338548667,0.02047678828239441,awake
1778338548701,0.020478665828704834,awake
1778338548734,0.020637840032577515,awake
1778338548767,0.021150410175323486,awake
1778338548800,0.02258017659187317,awake
1778338548834,0.023162543773651123,awake
1778338548867,0.024609625339508057,awake
1778338548901,0.024729669094085693,awake
1778338548934,0.02461913228034973,awake
1778338548967,0.02398940920829773,awake
1778338549001,0.023830652236938477,awake
1778338549034,0.023832648992538452,awake
1778338549067,0.023276537656784058,awake
1778338549100,0.023076951503753662,awake
1778338549134,0.022688090801239014,awake
1778338549168,0.022527724504470825,awake
1778338549200,0.023058384656906128,awake
1778338549234,0.023096799850463867,awake
1778338549266,0.024040818214416504,awake
1778338549301,0.025103479623794556,awake
1778338549334,0.025133460760116577,awake
1778338549368,0.026070117950439453,awake
1778338549401,0.025787293910980225,awake
1778338549434,0.025811880826950073,awake
1778338549467,0.026895999908447266,awake
1778338549501,0.027057349681854248,awake
1778338549533,0.02724781632423401,awake
1778338549568,0.027466416358947754,awake
1778338549601,0.027310580015182495,awake
1778338549634,0.027519315481185913,awake
1778338549667,0.02787339687347412,awake
1778338549701,0.028287410736083984,awake
1778338549734,0.028127282857894897,awake
1778338549766,0.02869880199432373,awake
1778338549801,0.028555750846862793,awake
1778338549834,0.02876010537147522,awake
1778338549867,0.028777092695236206,awake
1778338549901,0.02875995635986328,awake
1778338549934,0.028606832027435303,awake
1778338549967,0.028954684734344482,awake
1778338550000,0.0287950336933136,awake
1778338550034,0.02859702706336975,awake
1778338550067,0.028788000345230103,awake
1778338550101,0.028246790170669556,awake
1778338550134,0.028827667236328125,awake
1778338550167,0.027907997369766235,awake
1778338550201,0.02851751446723938,awake
1778338550234,0.028620868921279907,awake
1778338550267,0.02875015139579773,awake
1778338550300,0.03006109595298767,awake
1778338550334,0.03089502453804016,awake
1778338550367,0.03147825598716736,awake
1778338550400,0.032156288623809814,awake
1778338550434,0.032673805952072144,awake
1778338550466,0.03292804956436157,awake
1778338550500,0.03442499041557312,awake
1778338550534,0.03521573543548584,awake
1778338550568,0.03644534945487976,awake
1778338550600,0.03755229711532593,awake
1778338550634,0.03805983066558838,awake
1778338550667,0.03867292404174805,awake
1778338550700,0.03867170214653015,awake
1778338550735,0.03985804319381714,awake
1778338550767,0.040138304233551025,awake
1778338550801,0.041399240493774414,awake
1778338550834,0.04167929291725159,awake
1778338550866,0.04226112365722656,awake
1778338550900,0.04427698254585266,awake
1778338550934,0.04460632801055908,awake
1778338550967,0.045346617698669434,awake
1778338551001,0.04687890410423279,awake
1778338551034,0.04728424549102783,awake
1778338551067,0.04722326993942261,awake
1778338551100,0.04736298322677612,awake
1778338551134,0.04797399044036865,awake
1778338551167,0.049169838428497314,awake
1778338551201,0.050877660512924194,awake
1778338551234,0.05043146014213562,awake
1778338551267,0.051029205322265625,awake
1778338551300,0.050862520933151245,awake
1778338551333,0.0512317419052124,awake
1778338551367,0.05008551478385925,awake
1778338551401,0.05064016580581665,awake
1778338551434,0.050562769174575806,awake
1778338551467,0.05112782120704651,awake
1778338551500,0.05105432868003845,awake
1778338551534,0.05069807171821594,awake
1778338551568,0.050998955965042114,awake
1778338551601,0.05104050040245056,awake
1778338551633,0.05132073163986206,awake
1778338551667,0.05101454257965088,awake
1778338551700,0.051021307706832886,awake
1778338551733,0.050331443548202515,awake
1778338551767,0.050042033195495605,awake
1778338551801,0.049565643072128296,awake
1778338551833,0.048774003982543945,awake
1778338551866,0.04926496744155884,awake
1778338551901,0.05067276954650879,awake
1778338551935,0.0503900945186615,awake
1778338551967,0.05074816942214966,awake
1778338552000,0.050515443086624146,awake
1778338552033,0.05007714033126831,awake
1778338552067,0.051779329776763916,awake
1778338552101,0.04514867067337036,awake
1778338552134,0.04359030723571777,awake
1778338552167,0.03762170672416687,awake
1778338552201,0.03687763214111328,awake
1778338552234,0.03625807166099548,awake
1778338552267,0.030936628580093384,awake
1778338552300,0.02750319242477417,awake
1778338552334,0.026381224393844604,awake
1778338552366,0.02697378396987915,awake
1778338552401,0.026074767112731934,awake
1778338552433,0.027244478464126587,awake
1778338552467,0.026639044284820557,awake
1778338552501,0.026932716369628906,awake
1778338552534,0.0271303653717041,awake
1778338552568,0.028515011072158813,awake
1778338552601,0.02773052453994751,awake
1778338552634,0.028482019901275635,awake
1778338552667,0.02839118242263794,awake
1778338552700,0.028834551572799683,awake
1778338552734,0.02842298150062561,awake
1778338552767,0.028601258993148804,awake
1778338552801,0.028191745281219482,awake
1778338552834,0.027899444103240967,awake
1778338552867,0.027564197778701782,awake
1778338552901,0.03034234046936035,awake
1778338552933,0.031158864498138428,awake
1778338552967,0.029763996601104736,awake
1778338553001,0.02916055917739868,awake
1778338553034,0.029634952545166016,awake
1778338553066,0.03175953030586243,awake
1778338553100,0.03113052248954773,awake
1778338553134,0.031206905841827393,awake
1778338553167,0.030331730842590332,awake
1778338553200,0.03005039691925049,awake
1778338553234,0.0291406512260437,awake
1778338553267,0.029391318559646606,awake
1778338553300,0.02827852964401245,awake
1778338553334,0.01982787251472473,awake
1778338553367,0.0047103166580200195,drowsy
1778338553403,0.000007092952728271484,drowsy
1778338553434,0.0008336901664733887,drowsy
1778338553468,0.0011205673217773438,drowsy
1778338553501,0.0014299750328063965,drowsy
1778338553534,0.002017676830291748,drowsy
1778338553568,0.002049177885055542,drowsy
1778338553601,0.0009284913539886475,drowsy
1778338553634,0.00040966272354125977,drowsy
1778338553667,0.00038355588912963867,drowsy
1778338553701,0.0009247958660125732,drowsy
1778338553734,0.0011936426162719727,drowsy
1778338553767,0.0020028352737426758,drowsy
1778338553801,0.0027857720851898193,drowsy
1778338553834,0.004661291837692261,drowsy
1778338553867,0.0037764906883239746,drowsy
1778338553901,0.0038441717624664307,drowsy
1778338553933,0.003269582986831665,drowsy
1778338553966,0.0025157928466796875,drowsy
1778338554001,0.0025784969329833984,drowsy
1778338554034,0.003091752529144287,drowsy
1778338554067,0.0028412342071533203,drowsy
1778338554101,0.0025660693645477295,drowsy
1778338554134,0.0033785104751586914,drowsy
1778338554167,0.0031397640705108643,drowsy
1778338554201,0.0031136274337768555,drowsy
1778338554233,0.0025725960731506348,drowsy
1778338554267,0.0014939606189727783,drowsy
1778338554300,0.0017645061016082764,drowsy
1778338554334,0.001531749963760376,drowsy
1778338554367,0.001274406909942627,drowsy
1778338554400,0.0004054903984069824,drowsy
1778338554434,0.00043889880180358887,drowsy
1778338554467,0.00020435452461242676,drowsy
1778338554500,0.0002631843090057373,drowsy
1778338554534,0.0007872879505157471,drowsy
1778338554567,0.0004871487617492676,drowsy
1778338554601,0.0007332265377044678,drowsy
1778338554634,0.0009589195251464844,drowsy
1778338554667,0.0015402436256408691,drowsy
1778338554700,0.0024449825286865234,drowsy
1778338554734,0.004425615072250366,drowsy
1778338554767,0.00276106595993042,drowsy
1778338554800,0.0016540586948394775,drowsy
1778338554834,0.0022392868995666504,drowsy
1778338554867,0.004465311765670776,drowsy
1778338554900,0.0005924701690673828,drowsy
